#danRer7.ensGene.name	danRer7.ensGene.chrom	danRer7.ensGene.strand	danRer7.ensGene.txStart	danRer7.ensGene.txEnd	danRer7.ensGene.cdsStart	danRer7.ensGene.cdsEnd	danRer7.ensGene.exonCount	danRer7.ensGene.exonStarts	danRer7.ensGene.exonEnds	danRer7.ensGene.name2	danRer7.ensemblToGeneName.value	danRer7.geneSymbol
ENSDART00000091205	chr1	-	10308652	10556008	10308652	10556008	46	10308652,10311407,10311973,10314200,10316097,10316406,10320146,10322734,10324484,10327758,10334494,10335009,10338510,10339542,10340561,10351361,10352692,10353492,10364214,10368501,10368546,10372474,10378105,10390113,10390746,10400114,10400823,10402926,10413944,10416153,10422480,10425118,10434150,10439777,10446164,10451080,10453691,10454459,10458562,10464365,10471598,10474780,10523973,10547887,10549842,10555850,	10308922,10311537,10312094,10314338,10316262,10316532,10320308,10322872,10324671,10327874,10334596,10335087,10338640,10339613,10340665,10351563,10352715,10353664,10364313,10368525,10368691,10372590,10378343,10390264,10390865,10400236,10401015,10403025,10414140,10416269,10422662,10425259,10434298,10439914,10446338,10451183,10453859,10454576,10458760,10464455,10471792,10474892,10524107,10548035,10549949,10556008,	ENSDARG00000062854	sdk1b	sdk1b
ENSDART00000111485	chr1	+	11527848	11554350	11527848	11554155	9	11527848,11533999,11535138,11541953,11543633,11543882,11547643,11547977,11554096,	11527965,11534156,11535258,11542043,11543764,11543990,11547787,11548122,11554350,	ENSDARG00000078318	tmod1	tmod1
ENSDART00000002886	chr1	+	17825395	17834050	17825502	17833946	12	17825395,17825714,17826184,17826400,17828375,17828614,17830246,17831880,17832196,17832475,17833741,17833915,	17825568,17825809,17826304,17826503,17828513,17828697,17830379,17831969,17832343,17832594,17833799,17834050,	ENSDARG00000006392	exosc9	exosc9
ENSDART00000131948	chr1	+	17825426	17832218	17825502	17832218	8	17825426,17825714,17826400,17828375,17828614,17830246,17831880,17832196,	17825568,17825809,17826503,17828513,17828697,17830379,17831969,17832218,	ENSDARG00000006392	exosc9	exosc9
ENSDART00000088653	chr1	+	18813342	18876795	18813342	18876795	13	18813342,18816244,18822537,18822801,18830706,18832359,18833232,18844614,18850568,18855474,18855704,18867535,18876487,	18813532,18816383,18822716,18822952,18830885,18832501,18833429,18844756,18850771,18855553,18855827,18867834,18876795,	ENSDARG00000061830	prss12	prss12
ENSDART00000140263	chr1	+	18822536	18879992	18822536	18876795	11	18822536,18822801,18830706,18832359,18833232,18844614,18850568,18855474,18855704,18867535,18876487,	18822716,18822952,18830885,18832501,18833429,18844756,18850771,18855553,18855827,18867834,18879992,	ENSDARG00000061830	prss12	prss12
ENSDART00000141077	chr1	-	19921465	19986760	19922102	19986760	28	19921465,19924280,19927254,19928741,19929325,19931218,19932835,19934202,19934422,19936204,19936670,19940219,19941351,19941674,19941888,19942220,19942418,19943103,19943464,19943732,19943987,19946055,19953909,19954160,19954327,19960839,19960986,19986691,	19922128,19924810,19927414,19928843,19929451,19931415,19932859,19934326,19934634,19936588,19936911,19940380,19941595,19941783,19942092,19942328,19942583,19943256,19943623,19943869,19944165,19946178,19954077,19954236,19954411,19960896,19961057,19986760,	ENSDARG00000061459	RAPGEF2 (2 of 2)	RAPGEF2 (2 of 2)
ENSDART00000146630	chr1	-	19921465	19948417	19922102	19948276	23	19921465,19924280,19927254,19928741,19929325,19931218,19932835,19934202,19934422,19936204,19936670,19940219,19941351,19941674,19941888,19942220,19942418,19943103,19943464,19943732,19943987,19946055,19948192,	19922128,19924810,19927414,19928843,19929451,19931415,19932859,19934326,19934634,19936588,19936911,19940380,19941595,19941783,19942092,19942328,19942583,19943256,19943623,19943869,19944165,19946178,19948417,	ENSDARG00000061459	RAPGEF2 (2 of 2)	RAPGEF2 (2 of 2)
ENSDART00000141317	chr1	+	20837615	21057441	20838139	21057441	75	20837615,20838073,20841288,20841538,20842434,20842986,20844503,20845063,20845754,20848103,20848630,20848851,20851452,20851659,20852957,20853221,20854536,20854786,20857661,20862298,20863598,20863732,20863933,20866191,20866562,20866759,20870007,20876837,20877897,20881788,20882392,20884795,20885032,20887488,20893716,20898743,20901646,20901964,20903924,20908868,20911869,20912098,20914244,20918364,20919610,20922475,20924352,20924670,20929623,20931201,20937367,20939288,20940456,20950425,20950770,20959427,20960876,21009662,21010201,21014454,21017055,21022122,21024588,21031323,21031574,21033794,21038159,21040077,21040802,21046459,21047029,21052649,21056751,21057075,21057307,	20837785,20838415,20841456,20841813,20842702,20843121,20844618,20845178,20845923,20848211,20848741,20848941,20851573,20851811,20853110,20853473,20854665,20854900,20857805,20862454,20863649,20863825,20864053,20866372,20866659,20866973,20870172,20876948,20878023,20881980,20882554,20884933,20885200,20887637,20893824,20899299,20901769,20902147,20904068,20909090,20912017,20912256,20914376,20918536,20919757,20922525,20924507,20924902,20929776,20931342,20937610,20939456,20940692,20950687,20950894,20959624,20961080,21009788,21010366,21014522,21017236,21022302,21024822,21031459,21031747,21033985,21038320,21040166,21040949,21046598,21047149,21052771,21056881,21057203,21057441,	ENSDARG00000000606	dnah7l	dnah7l
ENSDART00000054388	chr1	+	20841664	21057496	20841664	21057496	73	20841664,20842434,20842986,20844503,20845097,20845754,20846374,20848103,20848630,20848851,20851452,20851659,20852957,20853221,20854536,20854786,20857661,20862298,20863598,20863732,20863933,20866191,20866562,20866759,20870007,20876834,20877897,20881788,20882392,20884795,20885032,20887488,20893716,20898743,20901646,20901964,20903924,20908868,20911869,20912098,20914241,20918364,20919607,20922451,20924352,20924670,20929623,20931201,20937367,20939288,20940456,20950425,20950770,20959427,20960876,21009662,21010201,21014454,21017055,21022122,21024588,21031323,21031574,21033794,21038159,21040077,21040802,21046459,21047029,21052649,21056751,21057075,21057307,	20841813,20842702,20843121,20844664,20845178,20845923,20846389,20848211,20848741,20848941,20851573,20851811,20853110,20853473,20854665,20854900,20857805,20862454,20863649,20863825,20864053,20866372,20866659,20866973,20870172,20876948,20878023,20881944,20882554,20884933,20885200,20887637,20893824,20899299,20901769,20902147,20904068,20909090,20912017,20912253,20914376,20918536,20919757,20922525,20924507,20924902,20929776,20931342,20937610,20939456,20940692,20950687,20950894,20959624,20961080,21009788,21010366,21014522,21017236,21022302,21024822,21031459,21031747,21033985,21038320,21040166,21040949,21046598,21047149,21052771,21056881,21057203,21057496,	ENSDARG00000000606	dnah7l	dnah7l
ENSDART00000121783	chr1	-	22017138	22041825	22017698	22041825	13	22017138,22032116,22032788,22033034,22033336,22035820,22036327,22036712,22039555,22039961,22041473,22041630,22041822,	22017726,22032202,22032893,22033214,22033444,22036165,22036405,22036784,22039860,22040060,22041540,22041744,22041825,	ENSDARG00000054799	rfc1	rfc1
ENSDART00000077055	chr1	-	22017138	22042622	22017698	22042528	13	22017138,22032114,22032788,22033034,22033336,22035820,22036327,22036712,22039555,22039961,22041473,22041630,22042525,	22017724,22032202,22032893,22033214,22033444,22036165,22036405,22036784,22039860,22040060,22041540,22041744,22042622,	ENSDARG00000054799	rfc1	rfc1
ENSDART00000143948	chr1	-	22017186	22042663	22017769	22042528	24	22017186,22022449,22022871,22023174,22023559,22024927,22025191,22025428,22027919,22028561,22028762,22029066,22031814,22032788,22033034,22033336,22035820,22036327,22036712,22039555,22039961,22041473,22041630,22042525,	22017883,22022632,22023085,22023320,22023677,22025082,22025290,22025524,22028057,22028650,22028877,22029179,22032202,22032893,22033214,22033444,22036165,22036405,22036784,22039860,22040060,22041540,22041744,22042663,	ENSDARG00000054799	rfc1	rfc1
ENSDART00000025224	chr1	-	22694786	23124646	22696118	23124646	56	22694786,22700274,22710139,22713269,22717698,22719155,22720520,22721883,22731223,22749491,22788760,22797673,22800535,22818557,22820107,22824578,22826422,22853360,22855326,22866590,22906944,22931350,22937816,22961700,22965381,22965683,22971475,22987242,22987674,22988624,22992194,22996963,22999407,23001171,23001509,23018091,23020080,23024394,23024925,23025646,23027931,23029101,23029254,23030671,23030953,23034049,23035783,23038401,23041365,23044201,23045692,23046596,23049656,23054258,23060138,23124514,	22696209,22700426,22710336,22713371,22717866,22719311,22720586,22722061,22731313,22749659,22788913,22797793,22800676,22818670,22820223,22824681,22826540,22853497,22855467,22866715,22907111,22931459,22937881,22961762,22965515,22965762,22971651,22987582,22987816,22988732,22992316,22997144,22999561,23001347,23002763,23018284,23020204,23024476,23025034,23025739,23028029,23029164,23029334,23030840,23031106,23034158,23035917,23038599,23041512,23044321,23045819,23046718,23049752,23054359,23060370,23124646,	ENSDARG00000031108	lrba	lrba
ENSDART00000142740	chr1	-	23038401	23124616	23038401	23124616	9	23038401,23041365,23044201,23045692,23046596,23049656,23054258,23060138,23124514,	23038599,23041512,23044321,23045819,23046718,23049752,23054359,23060370,23124616,	ENSDARG00000031108	lrba	lrba
ENSDART00000133208	chr1	+	24075576	24173549	24075576	24173350	34	24075576,24076513,24088659,24112846,24123318,24124900,24126239,24130031,24131909,24138577,24138748,24138945,24140558,24141252,24142348,24143868,24144094,24147311,24147926,24148121,24151250,24151596,24154128,24154405,24162614,24163801,24164386,24166016,24166390,24168233,24170409,24170643,24170805,24173035,	24075815,24076584,24088697,24112918,24123442,24125017,24126344,24130109,24132063,24138636,24138854,24139048,24140703,24141423,24142418,24143989,24144164,24147421,24147996,24148237,24151393,24151783,24154314,24154552,24163158,24163932,24164520,24166193,24166469,24168343,24170539,24170720,24170942,24173549,	ENSDARG00000079434	si:ch211-208h7.4	si:ch211-208h7.4
ENSDART00000145373	chr1	+	24076526	24125109	24125109	24125109	5	24076526,24088659,24112846,24123318,24124900,	24076584,24088697,24112918,24123442,24125109,	ENSDARG00000079434	si:ch211-208h7.4	si:ch211-208h7.4
ENSDART00000112106	chr1	+	28212405	28321676	28212935	28320508	3	28212405,28314169,28320221,	28213622,28314341,28321676,	ENSDARG00000075858	fam155a	fam155a
ENSDART00000151986	chr1	-	36643723	36709077	36644017	36709077	7	36643723,36646773,36661440,36665870,36671805,36677635,36708949,	36644173,36646931,36661571,36666015,36672120,36677752,36709077,	ENSDARG00000037025	nr3c2	nr3c2
ENSDART00000053818	chr1	-	36643723	36796455	36644017	36792890	9	36643723,36646773,36661440,36665870,36671805,36677635,36708949,36791127,36796142,	36644173,36646931,36661571,36666015,36672120,36677752,36709077,36792910,36796455,	ENSDARG00000037025	nr3c2	nr3c2
ENSDART00000125011	chr1	-	36644017	36792890	36644017	36792890	11	36644017,36646773,36661440,36665870,36671805,36677635,36708949,36724583,36744419,36758439,36791127,	36644173,36646931,36661571,36666015,36672120,36677752,36709048,36724599,36744431,36758452,36792890,	ENSDARG00000037025	nr3c2	nr3c2
ENSDART00000084891	chr1	+	39750403	39854301	39845115	39854033	3	39750403,39845020,39853695,	39750939,39845347,39854301,	ENSDARG00000005479	tenm3	tenm3
ENSDART00000148701	chr1	+	39750403	40139247	39845115	40139244	28	39750403,39845020,39853695,39982706,40002034,40020340,40043251,40046996,40056989,40059388,40062937,40067853,40084055,40087152,40095022,40097997,40101607,40103917,40118095,40126249,40126945,40129780,40132814,40133835,40134495,40136336,40138073,40138485,	39750939,39845347,39853974,39982935,40002273,40020463,40043457,40047207,40057091,40059583,40063138,40068039,40084202,40087369,40095142,40098259,40101875,40104061,40118345,40126482,40127100,40130655,40132990,40134071,40134792,40137948,40138204,40139247,	ENSDARG00000005479	tenm3	tenm3
ENSDART00000122700	chr1	+	39845115	40140106	39845115	40139244	30	39845115,39853695,39960339,39982706,40002034,40020340,40043251,40046996,40056989,40059388,40062937,40067853,40081979,40083013,40084055,40087152,40095022,40097997,40101607,40103917,40118095,40126249,40126945,40129780,40132814,40133835,40134495,40136336,40138073,40138485,	39845347,39853974,39960546,39982935,40002273,40020463,40043457,40047207,40057091,40059583,40063138,40068039,40082003,40083034,40084202,40087369,40095142,40098259,40101875,40104061,40118345,40126482,40127100,40130655,40132990,40134071,40134792,40137948,40138204,40140106,	ENSDARG00000005479	tenm3	tenm3
ENSDART00000114659	chr1	-	40726407	40911858	40729084	40911858	5	40726407,40732738,40733001,40802876,40911474,	40730070,40732814,40733271,40804460,40911858,	ENSDARG00000079552	maml3	maml3
ENSDART00000138740	chr1	+	42607579	43265577	42662235	43265577	9	42607579,42662228,42757426,42768789,42770838,42773473,42857293,43232676,43265424,	42607842,42662337,42757622,42768956,42770958,42773740,42857497,43232757,43265577,	ENSDARG00000024785	ctnna2	ctnna2
ENSDART00000101306	chr1	+	42607715	43418249	42662235	43417599	17	42607715,42662228,42757426,42768789,42773473,42857293,43232676,43265424,43362433,43364613,43373813,43391911,43398531,43405234,43406101,43412933,43417311,	42607842,42662337,42757622,42768956,42773740,42857497,43232757,43265577,43362526,43364770,43374014,43392063,43398645,43405416,43406207,43413068,43418249,	ENSDARG00000024785	ctnna2	ctnna2
ENSDART00000110860	chr1	+	42662235	43042727	42662235	43042727	7	42662235,42757426,42768789,42770838,42773473,42857293,43042661,	42662337,42757622,42768956,42770958,42773740,42857497,43042727,	ENSDARG00000024785	ctnna2	ctnna2
ENSDART00000137609	chr1	+	42845817	43265577	43265577	43265577	4	42845817,42857293,43232676,43265424,	42845933,42857497,43232757,43265577,	ENSDARG00000024785	ctnna2	ctnna2
ENSDART00000074609	chr1	-	44034999	44067104	44035336	44067038	9	44034999,44041596,44052596,44052842,44055403,44057844,44058783,44064907,44067004,	44035363,44041785,44052748,44052926,44055461,44058057,44058900,44065008,44067104,	ENSDARG00000052712	suclg1	suclg1
ENSDART00000081835	chr1	-	45046969	45093536	45048850	45078102	15	45046969,45050374,45050699,45059313,45059524,45061566,45065644,45065886,45068319,45068922,45075080,45075707,45077070,45077948,45093264,	45049021,45050498,45050773,45059443,45059657,45061602,45065791,45066020,45068453,45069015,45075157,45075763,45077257,45078106,45093536,	ENSDARG00000037748	slc43a1b	slc43a1b
ENSDART00000038574	chr1	+	46134419	46140137	46134791	46139597	3	46134419,46134734,46139300,	46134472,46135061,46140137,	ENSDARG00000026068	trappc5	trappc5
ENSDART00000141144	chr1	+	46134462	46139697	46134791	46139597	3	46134462,46134734,46139300,	46134667,46135061,46139697,	ENSDARG00000026068	trappc5	trappc5
ENSDART00000149565	chr1	+	46134499	46139728	46134791	46139597	2	46134499,46139300,	46135061,46139728,	ENSDARG00000026068	trappc5	trappc5
ENSDART00000074519	chr1	-	47163802	47203746	47166188	47203697	17	47163802,47166392,47167672,47167918,47170378,47170655,47170870,47172191,47172847,47175423,47175596,47177799,47180469,47180630,47180749,47192194,47203628,	47166284,47166487,47167835,47167990,47170483,47170784,47171002,47172236,47173017,47175510,47175682,47177895,47180522,47180660,47180839,47192239,47203746,	ENSDARG00000052641	kpna3	kpna3
ENSDART00000101079	chr1	-	48199030	48268849	48201082	48268712	6	48199030,48203826,48213138,48238305,48245106,48268678,	48201324,48203967,48213834,48238627,48245348,48268849,	ENSDARG00000069438	neurl1aa	neurl1aa
ENSDART00000135861	chr1	+	52397364	52455684	52397903	52455074	2	52397364,52454486,	52397930,52455684,	ENSDARG00000043226	nfixa	nfixa
ENSDART00000121795	chr1	+	52397903	52595159	52397903	52591028	13	52397903,52454486,52543031,52544891,52548190,52548835,52549898,52550715,52561052,52567967,52570762,52580587,52591013,	52397930,52455018,52543094,52544966,52548311,52548871,52550023,52550796,52561184,52568137,52570919,52580682,52595159,	ENSDARG00000043226	nfixa	nfixa
ENSDART00000147683	chr1	+	53424875	53720812	53424979	53720579	20	53424875,53449889,53521327,53556809,53561257,53577332,53595299,53613497,53628459,53651968,53661554,53663825,53681559,53684589,53688869,53691671,53694356,53697601,53704246,53720446,	53424988,53450003,53521407,53556885,53561324,53577480,53595430,53613602,53628568,53652140,53661806,53663964,53681750,53684713,53688996,53691812,53694454,53697714,53704401,53720812,	ENSDARG00000075201	inpp4b	inpp4b
ENSDART00000037729	chr1	+	54521737	54532906	54521737	54529128	3	54521737,54524816,54528948,	54522095,54525115,54532906,	ENSDARG00000025325	CCSAP (1 of 2)	CCSAP (1 of 2)
ENSDART00000074034	chr1	-	55551106	55577651	55551106	55577651	22	55551106,55552673,55553162,55553369,55554727,55555063,55555271,55555575,55556446,55557311,55557620,55560626,55561398,55564020,55564158,55570718,55571910,55572980,55574866,55575011,55576804,55577491,	55551212,55552768,55553270,55553450,55554849,55555148,55555377,55555639,55556562,55557493,55557744,55561009,55561495,55564073,55564271,55570840,55572296,55573112,55574901,55575093,55577046,55577651,	ENSDARG00000002980	vps54	vps54
ENSDART00000075469	chr1	-	56576601	56626806	56576907	56626759	11	56576601,56579577,56617459,56618830,56619087,56621263,56621422,56623215,56623409,56623732,56626688,	56576912,56579594,56617527,56618933,56619175,56621346,56621511,56623289,56623578,56623928,56626806,	ENSDARG00000043719	C3 (3 of 9)	C3 (3 of 9)
ENSDART00000064202	chr1	-	56614610	56626806	56614610	56626759	12	56614610,56615398,56617055,56617406,56618830,56619087,56621263,56621422,56623215,56623409,56623732,56626688,	56614736,56615545,56617171,56617527,56618933,56619175,56621346,56621511,56623289,56623578,56623928,56626806,	ENSDARG00000043719	C3 (3 of 9)	C3 (3 of 9)
ENSDART00000055107	chr1	+	59764488	59776970	59764488	59776970	11	59764488,59767194,59771315,59772109,59772355,59773582,59773971,59775378,59775761,59776669,59776862,	59764512,59767310,59771369,59772257,59772418,59773687,59774100,59775525,59775920,59776693,59776970,	ENSDARG00000077953	TRIP10 (2 of 2)	TRIP10 (2 of 2)
ENSDART00000081743	chr1	+	119766	132829	119941	130640	7	119766,126291,127514,128786,129118,129581,130347,	120643,126419,127672,128870,129243,129783,132829,	ENSDARG00000058803	grk1a	grk1a
ENSDART00000092524	chr1	-	232208	286022	232515	285937	24	232208,235003,235974,236249,236613,237113,239879,240033,240509,241237,242709,244043,244189,244631,245281,246234,247075,251877,253620,259834,263386,266471,266998,285882,	232591,235187,236078,236458,236696,237220,239953,240111,240587,241344,242833,244118,244304,244780,245438,246339,247149,251950,253701,259911,263481,266575,267116,286022,	ENSDARG00000063371	rasa3	rasa3
ENSDART00000129489	chr1	+	572579	658993	572579	576158	11	572579,573278,573723,573891,574407,574995,575540,575918,644568,645466,658559,	572692,573501,573807,574046,574729,575183,575661,578051,645044,645963,658993,	ENSDARG00000070643	tmem39a	tmem39a
ENSDART00000038445	chr1	+	652430	657335	652430	657335	9	652430,652652,653023,654040,654362,655095,655321,656854,657243,	652550,652845,653128,654151,654448,655203,655435,656960,657335,	ENSDARG00000024452	cul4a	cul4a
ENSDART00000097626	chr1	+	1299843	1314365	1299955	1314149	5	1299843,1306749,1308143,1309215,1314117,	1300073,1307136,1308184,1309369,1314365,	ENSDARG00000067781	urp2	urp2
ENSDART00000110331	chr1	+	1697816	1757143	1698082	1756978	9	1697816,1705856,1713987,1718433,1731816,1734797,1739393,1753404,1756814,	1698125,1706222,1714395,1718802,1732239,1735205,1739501,1753710,1757143,	ENSDARG00000075505	PTGFRN (1 of 2)	PTGFRN (1 of 2)
ENSDART00000022019	chr1	+	1885755	1971103	1886243	1970981	7	1885755,1942287,1942921,1947487,1958245,1962494,1970966,	1886417,1942452,1943122,1947742,1958402,1962547,1971103,	ENSDARG00000018460	mbnl2	mbnl2
ENSDART00000098059	chr1	+	1885755	1971103	1886243	1970981	6	1885755,1947487,1957849,1958245,1962452,1970966,	1886294,1947742,1957903,1958402,1962547,1971103,	ENSDARG00000018460	mbnl2	mbnl2
ENSDART00000074923	chr1	+	1885755	1971095	1886243	1970981	6	1885755,1947505,1957849,1958245,1962452,1970966,	1886312,1947742,1957903,1958402,1962547,1971095,	ENSDARG00000018460	mbnl2	mbnl2
ENSDART00000124534	chr1	+	1885960	1974647	1886243	1970981	8	1885960,1942287,1942921,1947487,1957849,1958245,1962452,1970966,	1886417,1942452,1943122,1947742,1957903,1958402,1962547,1974647,	ENSDARG00000018460	mbnl2	mbnl2
ENSDART00000122626	chr1	+	1886243	1974645	1886243	1970981	9	1886243,1942287,1942921,1947487,1957849,1958245,1960601,1962452,1970966,	1886417,1942452,1943122,1947742,1957903,1958402,1960637,1962547,1974645,	ENSDARG00000018460	mbnl2	mbnl2
ENSDART00000136680	chr1	+	1947485	1971183	1971183	1971183	5	1947485,1958245,1960601,1962494,1970966,	1947742,1958402,1960637,1962547,1971183,	ENSDARG00000018460	mbnl2	mbnl2
ENSDART00000132126	chr1	+	1947499	1971186	1947499	1970981	4	1947499,1958245,1962452,1970966,	1947742,1958402,1962547,1971186,	ENSDARG00000018460	mbnl2	mbnl2
ENSDART00000081387	chr1	+	4586599	4608548	4586599	4608548	3	4586599,4586713,4608361,	4586653,4586907,4608548,	ENSDARG00000079006	CU856394.1	CU856394.1
ENSDART00000097632	chr1	-	4670971	4855754	4674700	4855754	20	4670971,4693328,4716435,4729290,4731133,4752007,4758467,4774806,4783657,4785774,4791697,4805306,4812366,4827242,4829126,4835956,4839256,4842069,4855372,4855751,	4675040,4693399,4716544,4729554,4731241,4752191,4758683,4774851,4783770,4785904,4791827,4805480,4812552,4827368,4829266,4836384,4839382,4842156,4855464,4855754,	ENSDARG00000067785	PARD3B (2 of 3)	PARD3B (2 of 3)
ENSDART00000147638	chr1	+	5503644	5509564	5503672	5509467	6	5503644,5504393,5506049,5506450,5507754,5509370,	5503783,5504554,5506263,5506554,5507892,5509564,	ENSDARG00000070558	si:ch211-93g23.2	si:ch211-93g23.2
ENSDART00000145822	chr1	+	5694954	5802766	5694954	5802766	28	5694954,5715670,5738067,5738661,5740586,5742381,5742716,5747329,5748108,5748856,5750672,5753760,5756060,5758344,5758686,5761492,5762205,5765539,5765765,5766686,5787340,5788222,5789596,5794509,5794727,5796288,5801924,5802500,	5695106,5715857,5738206,5738723,5740705,5742523,5742830,5747456,5748182,5748947,5750872,5753893,5756154,5758499,5758818,5761537,5762338,5765662,5765864,5766872,5787496,5788298,5789743,5794607,5794898,5796589,5802092,5802766,	ENSDARG00000063207	erbb4a	erbb4a
ENSDART00000092118	chr1	+	5694954	5803070	5694954	5802766	26	5694954,5715670,5738067,5738657,5740586,5742381,5742716,5747329,5748108,5748856,5750672,5753760,5756060,5758344,5761492,5762205,5765539,5765765,5766686,5787340,5788222,5789596,5794509,5794727,5796288,5801924,	5695106,5715857,5738202,5738723,5740705,5742523,5742830,5747456,5748182,5748947,5750872,5753893,5756154,5758499,5761537,5762338,5765662,5765864,5766872,5787496,5788298,5789743,5794607,5794898,5796589,5803070,	ENSDARG00000063207	erbb4a	erbb4a
ENSDART00000085203	chr1	+	6398651	6424064	6398952	6424006	5	6398651,6408194,6421254,6421693,6423608,	6399065,6408484,6421347,6421804,6424064,	ENSDARG00000074050	efnb2b	efnb2b
ENSDART00000134989	chr1	+	6408449	6426403	6426403	6426403	5	6408449,6421254,6421693,6423608,6426141,	6408484,6421347,6421804,6423922,6426403,	ENSDARG00000074050	efnb2b	efnb2b
ENSDART00000131426	chr1	+	6420841	6423709	6423709	6423709	3	6420841,6421693,6423608,	6421347,6421804,6423709,	ENSDARG00000074050	efnb2b	efnb2b
ENSDART00000156284	chr1	+	6944456	6947873	6944456	6947873	7	6944456,6945067,6946273,6946508,6946989,6947190,6947866,	6944494,6945266,6946420,6946680,6947090,6947351,6947873,	ENSDARG00000092361	si:dkey-79f11.7	si:dkey-79f11.7
ENSDART00000113289	chr1	-	7049572	7088804	7049572	7088804	33	7049572,7050054,7051229,7051383,7051681,7051994,7053316,7053403,7054681,7054770,7055803,7056049,7056555,7056654,7056965,7057426,7057860,7058411,7059700,7059825,7061033,7061456,7071185,7072097,7073771,7074240,7074399,7076420,7078442,7082349,7082882,7084959,7088748,	7049676,7050062,7051301,7051421,7051922,7052073,7053328,7054010,7054720,7055762,7055899,7056119,7056568,7056797,7057067,7057537,7057975,7058506,7059729,7059878,7061043,7061558,7071300,7072119,7073781,7074303,7074508,7076529,7078564,7082445,7083028,7085057,7088804,	ENSDARG00000020489	CASKIN1 (1 of 2)	CASKIN1 (1 of 2)
