#dm3.ensGene.name	dm3.ensGene.chrom	dm3.ensGene.strand	dm3.ensGene.txStart	dm3.ensGene.txEnd	dm3.ensGene.cdsStart	dm3.ensGene.cdsEnd	dm3.ensGene.exonCount	dm3.ensGene.exonStarts	dm3.ensGene.exonEnds	dm3.ensGene.name2	dm3.ensemblToGeneName.value	dm3.geneSymbol
FBtr0089196	chr4	+	1168091	1189865	1168172	1187520	5	1168091,1169614,1185507,1186175,1187291,	1168244,1169839,1186113,1186993,1189865,	FBgn0039925	Kif3C	Kif3C
FBtr0299529	chr4	+	24052	25665	24052	25621	4	24052,24978,25217,25500,	24477,25153,25450,25665,	FBgn0040037	JYalpha	JYalpha
FBtr0333684	chr4	-	26454	32391	32391	32391	5	26454,27166,28370,28965,29355,	26667,27349,28907,29301,32391,	FBgn0052011	CR32011	CR32011
FBtr0089182	chr4	-	26999	32391	32391	32391	5	26999,27166,28370,28965,29355,	27101,27349,28907,29301,32391,	FBgn0052011	CR32011	CR32011
FBtr0333683	chr4	-	33265	45680	45680	45680	5	33265,33948,41595,42237,42627,	33451,34131,42179,42573,45680,	FBgn0052010	CR32010	CR32010
FBtr0089181	chr4	-	33778	45680	45680	45680	5	33778,33948,41595,42237,42627,	33883,34131,42179,42573,45680,	FBgn0052010	CR32010	CR32010
FBtr0333682	chr4	-	47645	52259	52259	52259	4	47645,48328,49532,50174,	47831,48511,50116,52259,	FBgn0052009	CR32009	CR32009
FBtr0089180	chr4	-	48155	52259	52259	52259	4	48155,48328,49532,50174,	48263,48511,50116,52259,	FBgn0052009	CR32009	CR32009
FBtr0308297	chr4	-	53103	64404	53643	64050	5	53103,53816,56499,57141,63539,	53751,53999,57083,61911,64404,	FBgn0025740	plexB	plexB
FBtr0089179	chr4	-	53437	64404	53643	64050	5	53437,53816,56499,57141,63539,	53751,53999,57083,61911,64404,	FBgn0025740	plexB	plexB
FBtr0306168	chr4	-	68335	77667	68619	72694	6	68335,71141,71370,71939,72642,76916,	71088,71306,71883,72580,73010,77667,	FBgn0004859	ci	ci
FBtr0089178	chr4	-	68335	76957	68619	76494	6	68335,71141,71370,71939,72642,76456,	71088,71306,71883,72580,73010,76957,	FBgn0004859	ci	ci
FBtr0308074	chr4	-	68335	76957	71027	76494	6	68335,71141,71370,71939,72642,76456,	71088,71239,71883,72580,73010,76957,	FBgn0004859	ci	ci
FBtr0333705	chr4	+	77122	83750	83750	83750	4	77122,77865,80601,83598,	77175,78037,81041,83750,	FBgn0264617	CR43957	CR43957
FBtr0333704	chr4	+	77122	81600	81600	81600	4	77122,77865,80601,81195,	77175,78037,81041,81600,	FBgn0264617	CR43957	CR43957
FBtr0308296	chr4	-	85850	87833	86898	87806	4	85850,86625,86730,87465,	86147,86675,87364,87833,	FBgn0017545	RpS3A	RpS3A
FBtr0321323	chr4	-	86202	86271	86271	86271	1	86202,	86271,	FBgn0263851	snoRNA:CD-24	snoRNA:CD-24
FBtr0089175	chr4	-	86822	87833	86898	87806	2	86822,87465,	87364,87833,	FBgn0017545	RpS3A	RpS3A
FBtr0089176	chr4	-	86822	87833	86898	87712	3	86822,87465,87673,	87364,87617,87833,	FBgn0017545	RpS3A	RpS3A
FBtr0089156	chr4	+	89955	130685	93055	129118	13	89955,90099,92946,93442,95693,103263,106337,106478,107642,115048,115462,120031,128028,	90020,90225,93220,93488,95791,103372,106425,106559,107792,115241,115628,120101,130685,	FBgn0085432	pan	pan
FBtr0089157	chr4	+	89955	130685	93055	129118	14	89955,90099,92946,93029,93442,95693,103263,106337,106478,107642,115048,115462,120031,128028,	90020,90225,92961,93220,93488,95791,103372,106425,106559,107792,115241,115628,120101,130685,	FBgn0085432	pan	pan
FBtr0089158	chr4	+	89955	130685	93055	129118	12	89955,92946,93442,95693,103263,106337,106478,107642,115048,115462,120031,128028,	90020,93220,93488,95791,103372,106425,106559,107792,115241,115628,120101,130685,	FBgn0085432	pan	pan
FBtr0308615	chr4	+	90007	130685	93055	125039	14	90007,92946,93029,93442,95693,103263,106337,106478,107642,115048,118447,120031,124708,128028,	90386,92961,93220,93488,95791,103372,106425,106559,107792,115241,118601,120101,125154,130685,	FBgn0085432	pan	pan
FBtr0100245	chr4	+	90007	130396	93055	129118	13	90007,92946,93029,93442,95693,103263,106337,106478,107642,115048,118447,120031,128028,	90386,92961,93220,93488,95791,103372,106425,106559,107792,115241,118601,120101,130396,	FBgn0085432	pan	pan
FBtr0089159	chr4	+	90007	129320	93055	129118	13	90007,92946,93029,93442,95693,103263,106337,106478,107642,115048,115462,120031,128028,	90378,92961,93220,93488,95791,103372,106425,106559,107792,115241,115628,120101,129320,	FBgn0085432	pan	pan
FBtr0100246	chr4	+	90007	122045	93055	120180	12	90007,92946,93029,93442,95693,103263,106337,106478,107642,115048,118447,120031,	90386,92961,93220,93488,95791,103372,106425,106559,107792,115241,118601,122045,	FBgn0085432	pan	pan
FBtr0089160	chr4	+	90010	130685	93055	129118	12	90010,92946,93442,95693,103263,106337,106478,107642,115048,115462,120031,128028,	90607,93220,93488,95791,103372,106425,106559,107792,115241,115628,120101,130685,	FBgn0085432	pan	pan
FBtr0089161	chr4	+	90286	130685	93055	129118	12	90286,92946,93442,95693,103263,106337,106478,107642,115048,115462,120031,128028,	90475,93220,93488,95791,103372,106425,106559,107792,115241,115628,120101,130685,	FBgn0085432	pan	pan
FBtr0089162	chr4	+	91031	130685	93055	129118	12	91031,92946,93442,95693,103263,106337,106478,107642,115048,115462,120031,128028,	91193,93220,93488,95791,103372,106425,106559,107792,115241,115628,120101,130685,	FBgn0085432	pan	pan
FBtr0112657	chr4	+	111839	130685	111839	129118	5	111839,115048,115462,120031,128028,	113899,115241,115628,120101,130685,	FBgn0085432	pan	pan
FBtr0089171	chr4	-	137014	150380	137494	150052	11	137014,137311,139180,139463,140513,141483,142478,142934,144410,149947,150353,	137256,139127,139405,139557,140838,142425,142582,144048,144518,150068,150380,	FBgn0011747	Ank	Ank
FBtr0089172	chr4	-	137014	150380	137494	150052	11	137014,137311,139180,139463,140513,141483,142478,142934,144410,149947,150180,	137256,139127,139405,139557,140838,142425,142582,144048,144518,150068,150380,	FBgn0011747	Ank	Ank
FBtr0089173	chr4	-	137014	150078	137494	150052	10	137014,137311,139180,139463,140513,141483,142478,142934,144410,149947,	137256,139127,139405,139557,140838,142425,142582,144048,144518,150078,	FBgn0011747	Ank	Ank
FBtr0089451	chr4	+	152845	163749	155343	163421	11	152845,153811,154213,155296,157504,157848,158016,158432,158999,160895,162825,	152913,153857,154339,155590,157793,157958,158378,158936,159200,162753,163749,	FBgn0052000	CG32000	CG32000
FBtr0113417	chr4	+	152845	163749	155154	163421	10	152845,153811,154213,157504,157848,158016,158432,158999,160895,162825,	152913,153861,155590,157793,157958,158378,158936,159200,162753,163749,	FBgn0052000	CG32000	CG32000
FBtr0089445	chr4	+	152845	160709	155343	160522	10	152845,153811,154213,155296,157504,157848,158016,158432,158999,160447,	152913,153857,154339,155590,157793,157958,158378,158936,159200,160709,	FBgn0052000	CG32000	CG32000
FBtr0089446	chr4	+	152845	160709	157551	160522	11	152845,153811,154213,154420,155450,157504,157848,158016,158432,158999,160447,	152913,153857,154339,154550,155590,157793,157958,158378,158936,159200,160709,	FBgn0052000	CG32000	CG32000
FBtr0089447	chr4	+	152845	160709	155154	160522	9	152845,153811,154213,157504,157848,158016,158432,158999,160447,	152913,153857,155590,157793,157958,158378,158936,159200,160709,	FBgn0052000	CG32000	CG32000
FBtr0333703	chr4	-	153299	153500	153500	153500	1	153299,	153500,	FBgn0264616	CR43956	CR43956
FBtr0333161	chr4	+	155391	163749	157551	163421	8	155391,157504,157848,158016,158432,158999,160895,162825,	155590,157793,157958,158378,158936,159200,162753,163749,	FBgn0052000	CG32000	CG32000
FBtr0089448	chr4	+	156897	163749	157378	163421	9	156897,157316,157504,157848,158016,158432,158999,160895,162825,	156997,157403,157793,157958,158378,158936,159200,162753,163749,	FBgn0052000	CG32000	CG32000
FBtr0089449	chr4	+	156897	163749	157378	163421	8	156897,157504,157848,158016,158432,158999,160895,162825,	157403,157793,157958,158378,158936,159200,162753,163749,	FBgn0052000	CG32000	CG32000
FBtr0089450	chr4	+	156897	160709	157378	160522	7	156897,157504,157848,158016,158432,158999,160447,	157403,157793,157958,158378,158936,159200,160709,	FBgn0052000	CG32000	CG32000
FBtr0089170	chr4	+	171389	174164	172376	173894	5	171389,172367,172820,173064,173609,	171462,172756,173004,173547,174164,	FBgn0052006	CG32006	CG32006
FBtr0089154	chr4	-	175342	176728	175404	176529	3	175342,175652,176390,	175591,175773,176728,	FBgn0051997	CG31997	CG31997
FBtr0310435	chr4	-	178200	196265	179083	195585	12	178200,179269,179847,180392,180957,181150,181447,185087,185340,194736,195410,196141,	179203,179330,180338,180901,181087,181389,185021,185282,185690,194790,195594,196265,	FBgn0053978	CG33978	CG33978
FBtr0310437	chr4	-	178200	195766	179083	195585	12	178200,179269,179847,180392,180957,181150,181447,185087,185340,194736,195410,195735,	179203,179288,180338,180901,181087,181389,185021,185282,185690,194790,195594,195766,	FBgn0053978	CG33978	CG33978
FBtr0308251	chr4	-	187170	196265	187721	195585	4	187170,194736,195410,196147,	194362,194790,195594,196265,	FBgn0053978	CG33978	CG33978
FBtr0310436	chr4	-	187170	195766	187721	195585	4	187170,194736,195410,195735,	194362,194790,195594,195766,	FBgn0053978	CG33978	CG33978
FBtr0089153	chr4	-	198063	200015	198066	199955	5	198063,199403,199562,199717,199889,	198618,199506,199660,199837,200015,	FBgn0039889	CG2219	CG2219
FBtr0308248	chr4	-	198063	200015	198066	199955	5	198063,199403,199562,199717,199886,	198618,199506,199660,199837,200015,	FBgn0039889	CG2219	CG2219
FBtr0333677	chr4	-	198063	200015	199443	199955	5	198063,199403,199562,199717,199889,	198618,199462,199660,199837,200015,	FBgn0039889	CG2219	CG2219
FBtr0089146	chr4	-	204850	214490	205140	209805	9	204850,205295,206452,206603,208622,208855,209050,209203,214298,	205240,205421,206542,207466,208795,208995,209149,209874,214490,	FBgn0039890	CG2316	CG2316
FBtr0089147	chr4	-	204850	214490	205140	209805	11	204850,205295,206452,206603,208622,208855,209050,209203,210623,211934,214298,	205240,205421,206542,207466,208795,208995,209149,209874,210687,212012,214490,	FBgn0039890	CG2316	CG2316
FBtr0089148	chr4	-	204850	214490	205140	209805	10	204850,205295,206452,206603,208622,208855,209050,209203,210623,214170,	205240,205421,206542,207466,208795,208995,209149,209874,210687,214490,	FBgn0039890	CG2316	CG2316
FBtr0089149	chr4	-	204850	214115	205140	209805	11	204850,205295,206452,206603,208622,208855,209050,209203,210623,211934,213969,	205240,205421,206542,207466,208795,208995,209149,209874,210687,212012,214115,	FBgn0039890	CG2316	CG2316
FBtr0089150	chr4	-	204850	214115	205140	209805	9	204850,205295,206452,206603,208622,208855,209050,209203,213969,	205240,205421,206542,207466,208795,208995,209149,209874,214115,	FBgn0039890	CG2316	CG2316
FBtr0089151	chr4	-	204850	214115	205140	209805	10	204850,205295,206452,206603,208622,208855,209050,209203,210623,213969,	205240,205421,206542,207466,208795,208995,209149,209874,210687,214115,	FBgn0039890	CG2316	CG2316
FBtr0089152	chr4	-	204850	214115	205140	209244	9	204850,205295,206452,206603,208622,208855,209050,209203,213969,	205240,205421,206542,207466,208795,208995,209149,209368,214115,	FBgn0039890	CG2316	CG2316
FBtr0308247	chr4	-	204850	210213	205140	209805	9	204850,205295,206452,206603,208622,208855,209050,209203,210151,	205240,205421,206542,207466,208795,208995,209149,209874,210213,	FBgn0039890	CG2316	CG2316
FBtr0308249	chr4	-	217300	226564	218503	224973	5	217300,222066,224605,225265,226284,	222009,222284,225218,225418,226564,	FBgn0051998	CG31998	CG31998
FBtr0089145	chr4	-	218170	226564	218503	225326	5	218170,222066,224605,225265,226366,	222009,222284,225200,225418,226564,	FBgn0051998	CG31998	CG31998
FBtr0089112	chr4	+	230882	233791	231080	233641	7	230882,231063,231183,232215,232479,233253,233416,	230988,231112,231306,232420,232608,233355,233791,	FBgn0024811	Crk	Crk
FBtr0089113	chr4	+	230882	233791	231080	233641	6	230882,231183,232215,232479,233253,233416,	231112,231306,232420,232608,233355,233791,	FBgn0024811	Crk	Crk
FBtr0089114	chr4	+	230882	233791	231080	233641	6	230882,231183,232264,232479,233253,233416,	231112,231301,232420,232608,233355,233791,	FBgn0024811	Crk	Crk
FBtr0304871	chr4	+	230882	233791	231080	232806	7	230882,231183,232215,232479,232740,233253,233416,	231112,231306,232420,232608,232900,233355,233791,	FBgn0024811	Crk	Crk
FBtr0308256	chr4	+	230882	233791	231080	233641	6	230882,231207,232215,232479,233253,233416,	231112,231306,232420,232608,233355,233791,	FBgn0024811	Crk	Crk
FBtr0089144	chr4	-	235634	246582	235730	246460	13	235634,235955,238031,238873,239071,240516,240769,243166,243279,243416,244182,244570,246387,	235893,236186,238120,239006,239516,240654,241063,243224,243362,243638,244512,245065,246582,	FBgn0051999	CG31999	CG31999
FBtr0089115	chr4	+	248549	251054	248630	251025	3	248549,249530,250536,	248866,250197,251054,	FBgn0039896	yellow-h	yellow-h
FBtr0089119	chr4	+	252051	261944	252579	261503	7	252051,252560,254890,257020,257894,260939,261270,	252253,252603,254971,257101,258185,261024,261944,	FBgn0039897	CG1674	CG1674
FBtr0113462	chr4	-	267749	273754	270224	273579	7	267749,270182,270415,270659,271940,272680,273449,	267854,270361,270603,270762,272151,272796,273754,	FBgn0053481	dpr7	dpr7
FBtr0113463	chr4	-	267749	273754	270224	272142	8	267749,270182,270415,270659,271940,272680,273288,273449,	267854,270361,270603,270762,272151,272796,273337,273754,	FBgn0053481	dpr7	dpr7
FBtr0308692	chr4	-	267749	273710	270720	273579	8	267749,270182,270415,270659,270815,271989,272680,273449,	267854,270361,270603,270762,270869,272151,272796,273710,	FBgn0053481	dpr7	dpr7
FBtr0308691	chr4	+	276142	285701	276142	285584	12	276142,278937,279153,279903,280072,281855,282199,282402,283831,284977,285111,285369,	278030,279092,279298,279996,280230,282137,282350,282688,283966,285055,285296,285701,	FBgn0259216	RhoGAP102A	RhoGAP102A
FBtr0299723	chr4	+	276142	283293	276142	283264	9	276142,278937,279153,279903,280072,281855,282199,282402,283008,	278030,279092,279298,279996,280230,282137,282350,282688,283293,	FBgn0259216	RhoGAP102A	RhoGAP102A
FBtr0299722	chr4	+	276142	283145	276142	282755	8	276142,278937,279153,279903,280072,281855,282199,282402,	278030,279092,279298,279996,280230,282137,282350,283145,	FBgn0259216	RhoGAP102A	RhoGAP102A
FBtr0089141	chr4	-	288939	296995	291075	296286	9	288939,291185,291694,292540,292851,293740,294386,296205,296916,	291125,291381,292473,292798,293034,294338,294542,296345,296995,	FBgn0042696	NfI	NfI
FBtr0333678	chr4	-	288939	296995	291075	296286	9	288939,291185,291694,292540,292851,293740,294386,296205,296916,	291125,291381,292473,292786,293034,294338,294542,296345,296995,	FBgn0042696	NfI	NfI
FBtr0089134	chr4	-	299302	327107	301051	325802	10	299302,300950,301122,302349,302573,303061,322867,323011,325641,327065,	300865,301057,301163,302518,302654,303364,322949,323152,325804,327107,	FBgn0039900	Syt7	Syt7
FBtr0100397	chr4	-	299302	327107	300764	325802	9	299302,300950,302349,302573,303061,322867,323011,325641,327065,	300865,301163,302518,302654,303364,322949,323152,325804,327107,	FBgn0039900	Syt7	Syt7
FBtr0114475	chr4	-	299302	326787	301051	325802	10	299302,300950,301122,302349,302573,303061,322867,323011,325641,326685,	300865,301057,301163,302518,302654,303364,322949,323152,325804,326787,	FBgn0039900	Syt7	Syt7
FBtr0089137	chr4	-	299302	326439	300764	325802	9	299302,300950,302349,302573,303061,322867,323011,325641,326306,	300865,301163,302518,302654,303364,322949,323152,325804,326439,	FBgn0039900	Syt7	Syt7
FBtr0089138	chr4	-	299302	326439	300764	325802	9	299302,300950,302349,302573,303061,322867,323011,325641,326321,	300865,301163,302518,302654,303364,322949,323152,325804,326439,	FBgn0039900	Syt7	Syt7
FBtr0305659	chr4	-	299302	326439	300764	325802	9	299302,300950,302349,302573,303061,322867,323011,325641,326357,	300865,301163,302518,302654,303364,322949,323152,325804,326439,	FBgn0039900	Syt7	Syt7
FBtr0305658	chr4	-	299302	326437	300764	325802	8	299302,302349,302573,303061,322867,323011,325641,326412,	300865,302518,302654,303364,322949,323152,325804,326437,	FBgn0039900	Syt7	Syt7
FBtr0089139	chr4	-	299302	326422	300764	303349	8	299302,300950,302349,302573,303061,322867,323011,325986,	300865,301163,302518,302654,303364,322949,323152,326422,	FBgn0039900	Syt7	Syt7
FBtr0305660	chr4	-	302003	326439	302332	325802	7	302003,302573,303061,322867,323011,325641,326275,	302518,302654,303364,322949,323152,325804,326439,	FBgn0039900	Syt7	Syt7
FBtr0333679	chr4	+	328718	331448	328849	330815	5	328718,329056,330164,330319,330704,	328915,329705,330259,330643,331448,	FBgn0026777	Rad23	Rad23
FBtr0089121	chr4	+	328718	330928	329203	330815	5	328718,329038,330164,330319,330704,	328915,329705,330259,330643,330928,	FBgn0026777	Rad23	Rad23
FBtr0089122	chr4	+	328718	330928	328849	330815	5	328718,329056,330164,330319,330704,	328915,329705,330259,330643,330928,	FBgn0026777	Rad23	Rad23
FBtr0333681	chr4	-	331555	334713	333415	334079	3	331555,333982,334645,	333924,334268,334713,	FBgn0039902	CG2177	CG2177
FBtr0089132	chr4	-	331555	334539	333415	334508	3	331555,333982,334373,	333924,334268,334539,	FBgn0039902	CG2177	CG2177
FBtr0089133	chr4	-	331555	334539	333415	334079	3	331555,333982,334324,	333924,334268,334539,	FBgn0039902	CG2177	CG2177
FBtr0089123	chr4	+	335548	342011	337042	340425	3	335548,337018,340074,	335805,337135,342011,	FBgn0052850	CG32850	CG32850
FBtr0333680	chr4	+	335548	342011	337042	340425	3	335548,337018,340077,	335583,337135,342011,	FBgn0052850	CG32850	CG32850
FBtr0304048	chr4	-	348818	379283	349832	376092	18	348818,358161,363547,369620,369838,370106,370355,371228,371390,372211,372509,372806,374568,374976,375305,375656,375935,379175,	350054,358173,363686,369772,370050,370305,370669,371316,371835,372453,372752,373216,374604,375187,375592,375851,376107,379283,	FBgn0259214	PMCA	PMCA
FBtr0304046	chr4	-	349441	379543	349832	376092	18	349441,350896,363547,369620,369838,370106,370355,371228,371390,372211,372509,372806,374568,374976,375305,375656,375935,379469,	350054,350965,363686,369772,370050,370305,370669,371316,371835,372453,372752,373216,374604,375187,375592,375851,376107,379543,	FBgn0259214	PMCA	PMCA
FBtr0300554	chr4	-	349441	379283	349832	376092	18	349441,350896,363547,369620,369838,370106,370355,371228,371390,372211,372509,372806,374568,374976,375305,375656,375935,379175,	350054,350965,363686,369772,370050,370305,370669,371316,371835,372453,372752,373216,374604,375187,375592,375851,376107,379283,	FBgn0259214	PMCA	PMCA
FBtr0300555	chr4	-	349441	379283	352190	376092	19	349441,350896,352023,363547,369620,369838,370106,370355,371228,371390,372211,372509,372806,374568,374976,375305,375656,375935,379175,	350054,350965,352628,363686,369772,370050,370305,370669,371316,371835,372453,372752,373216,374604,375187,375592,375851,376107,379283,	FBgn0259214	PMCA	PMCA
FBtr0300556	chr4	-	349441	379283	349832	376092	17	349441,363547,369620,369838,370106,370355,371228,371390,372211,372509,372806,374568,374976,375305,375656,375935,379175,	350054,363686,369772,370050,370305,370669,371316,371835,372453,372752,373216,374604,375187,375592,375851,376107,379283,	FBgn0259214	PMCA	PMCA
FBtr0300557	chr4	-	349441	379283	349832	376092	18	349441,350896,363547,369620,369838,370106,370355,371228,371390,372211,372509,372806,374568,374976,375305,375656,375935,379257,	350054,350965,363686,369772,370050,370305,370669,371316,371835,372453,372752,373216,374604,375187,375592,375851,376107,379283,	FBgn0259214	PMCA	PMCA
